% XXX,	bang(1)	vol 	dura 	out1	dura 	space(0-100)	space-fim	dura	número_do_som	dura	orig(0-1)	inv(0-1);
1000,	1 	20	0	100	0	0		50		40	2		123	0		0;
1123,	1 	20	0	100	0	50		50		0	2		76	0		1;
1199,	1 	30	0	100	0	50		50		0	2		123	0		1;

2000,	1 	10	0	100	0	50		50		0	2		123	0		0;

4000,	1 	20	0	100	0	50		50		0	2		123	0		1;

3000,	1 	10	0	100	0	0		50		40	2		123	0		0;
3123,	1 	20	0	100	0	50		50		0	2		76	0		1;
3199,	1 	30	0	100	0	50		50		0	2		123	0		1;

9000,	1 	70	0	100	0	50		50		0	10		199	0		0;
11000,	1 	70	0	100	0	50		50		0	10		199	0		0;

11199,	1 	50	0	100	0	50		50		0	2		123	0		1;
12000,	1 	130	0	100	0	50		50		0	11		199	0		0;

16000,	1 	10	0	100	0	50		50		0	2		123	0		0;

17000,	1 	20	0	100	0	0		50		40	2		123	0		0;
17123,	1 	20	0	100	0	50		50		0	2		76	0		1;
17199,	1 	30	0	100	0	50		50		0	2		123	0		1;
