% XXX,	bang(1)	vol 	dura 	out1	dura 	space(0-100)	space-fim	dura	número_do_som	dura	orig(0-1)	inv(0-1);
1001,	1	10	0	100	0	0		10		40	2		7	0		0;
1002,	1	10	0	100	0	0		10		40	2		11	0		0;
1003,	1	10	0	100	0	0		10		40	2		18	0		0;
1004,	1	10	0	100	0	0		10		40	2		4	0		0;
1005,	1	10	0	100	0	0		10		40	2		3	0		0;
1006,	1	10	0	100	0	0		10		40	2		29	0		0;
1007,	1	10	0	100	0	0		10		40	2		47	0		0;
1008,	1	10	0	100	0	0		10		40	2		76	0		0;


3001,	1	10	0	100	0	0		10		40	2		7	0		0;
3002,	1	10	0	100	0	0		10		40	2		11	0		0;
3003,	1	10	0	100	0	0		10		40	2		18	0		0;
3004,	1	10	0	100	0	0		10		40	2		4	0		0;
3005,	1	10	0	100	0	0		10		40	2		3	0		0;
3006,	1	10	0	100	0	0		10		40	2		29	0		0;
3007,	1	10	0	100	0	0		10		40	2		47	0		0;
3008,	1	10	0	100	0	0		10		40	2		76	0		0;


7123,	1	10	0	100	0	0		10		40	4		47	0		0;
3152,	1	10	0	100	0	0		10		40	4		29	0		0;
3170,	1	10	0	100	0	0		10		40	4		18	0		0;
3181,	1	10	0	100	0	0		10		40	4		11	0		0;
3185,	1	10	0	100	0	0		10		40	4		7	0		0;
3192,	1	10	0	100	0	0		10		40	4		4	0		0;
3193,	1	10	0	100	0	0		10		40	4		7	0		0;
3196,	1	10	0	100	0	0		10		40	4		3	0		0;







16001,	1	10	0	100	0	0		10		40	2		7	0		0;
16002,	1	10	0	100	0	0		10		40	2		11	0		0;
16003,	1	10	0	100	0	0		10		40	2		18	0		0;
16004,	1	10	0	100	0	0		10		40	2		4	0		0;
16005,	1	10	0	100	0	0		10		40	2		3	0		0;
16006,	1	10	0	100	0	0		10		40	2		29	0		0;
16007,	1	10	0	100	0	0		10		40	2		47	0		0;
16008,	1	10	0	100	0	0		10		40	2		76	0		0;
